"","year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
"59",2013,4,19,1441,1443,-2,1734,1736,-2,"UA",1687,"N78511","EWR","MCO",152,937,14,43,2013-04-19 14:00:00
"60",2013,6,27,1754,1745,9,2040,2014,26,"DL",884,"N355NW","LGA","DEN",243,1620,17,45,2013-06-27 17:00:00
"61",2013,7,7,822,825,-3,1047,1108,-21,"DL",1959,"N397DA","JFK","MCO",125,944,8,25,2013-07-07 08:00:00
"62",2013,4,11,603,600,3,852,900,-8,"UA",1282,"N38257","EWR","MIA",145,1085,6,0,2013-04-11 06:00:00
"63",2013,4,21,914,920,-6,1207,1225,-18,"AA",1739,"N4XSAA","EWR","DFW",199,1372,9,20,2013-04-21 09:00:00
"64",2013,9,11,1455,1455,0,1804,1750,14,"MQ",3070,"N521MQ","JFK","TPA",132,1005,14,55,2013-09-11 14:00:00
"65",2013,12,28,1554,1449,65,1859,1757,62,"UA",460,"N457UA","EWR","FLL",156,1065,14,49,2013-12-28 14:00:00
"66",2013,10,9,2220,2129,51,2326,2239,47,"EV",4509,"N13992","EWR","PWM",49,284,21,29,2013-10-09 21:00:00
"67",2013,8,25,1556,1559,-3,1842,1914,-32,"DL",1394,"N3749D","JFK","PDX",313,2454,15,59,2013-08-25 15:00:00
"68",2013,4,7,808,810,-2,1101,1123,-22,"DL",1271,"N317US","JFK","FLL",157,1069,8,10,2013-04-07 08:00:00
"69",2013,1,11,1154,1200,-6,1318,1330,-12,"MQ",4601,"N501MQ","LGA","BNA",111,764,12,0,2013-01-11 12:00:00
"70",2013,10,29,930,935,-5,1059,1055,4,"WN",3814,"N251WN","LGA","MKE",127,738,9,35,2013-10-29 09:00:00
"71",2013,12,4,1000,1005,-5,1221,1219,2,"DL",2319,"N331NW","LGA","MSP",166,1020,10,5,2013-12-04 10:00:00
"72",2013,11,28,614,615,-1,802,817,-15,"US",1899,"N151UW","JFK","CLT",87,541,6,15,2013-11-28 06:00:00
"73",2013,4,26,2100,1950,70,2349,2311,38,"DL",1854,"N934DL","LGA","FLL",142,1076,19,50,2013-04-26 19:00:00
"74",2013,7,24,825,830,-5,1100,1120,-20,"UA",691,"N471UA","EWR","MCO",133,937,8,30,2013-07-24 08:00:00
"75",2013,12,22,627,603,24,928,944,-16,"UA",1289,"N24212","EWR","SFO",343,2565,6,3,2013-12-22 06:00:00
"76",2013,5,14,1659,1700,-1,1802,1827,-25,"B6",24,"N298JB","JFK","SYR",47,209,17,0,2013-05-14 17:00:00
"77",2013,1,23,1912,1915,-3,2145,2137,8,"EV",4085,"N12163","EWR","OMA",196,1134,19,15,2013-01-23 19:00:00
"78",2013,12,16,1804,1800,4,2000,1940,20,"MQ",3501,"N813MQ","LGA","RDU",79,431,18,0,2013-12-16 18:00:00
"79",2013,1,29,1726,1730,-4,1907,1923,-16,"US",449,"N677AW","EWR","CLT",81,529,17,30,2013-01-29 17:00:00
"80",2013,12,23,1622,1459,83,1828,1700,88,"EV",4326,"N14902","EWR","CLT",106,529,14,59,2013-12-23 14:00:00
"81",2013,12,11,1904,1910,-6,2210,2220,-10,"AA",1193,"N3EMAA","LGA","DFW",218,1389,19,10,2013-12-11 19:00:00
"82",2013,7,19,2114,2119,-5,2332,2354,-22,"B6",527,"N709JB","EWR","MCO",117,937,21,19,2013-07-19 21:00:00
"83",2013,8,22,1413,1359,14,1634,1630,4,"DL",2247,"N6712B","LGA","ATL",109,762,13,59,2013-08-22 13:00:00
"84",2013,12,1,2111,2035,36,2214,2200,14,"WN",1419,"N913WN","LGA","MDW",106,725,20,35,2013-12-01 20:00:00
"85",2013,9,19,NA,2045,NA,NA,2225,NA,"AA",371,"N4YEAA","LGA","ORD",NA,733,20,45,2013-09-19 20:00:00
"86",2013,6,4,1055,1100,-5,1249,1307,-18,"DL",1031,"N361NW","LGA","DTW",79,502,11,0,2013-06-04 11:00:00
"87",2013,6,10,654,700,-6,956,1009,-13,"DL",1879,"N976DL","LGA","FLL",151,1076,7,0,2013-06-10 07:00:00
"88",2013,3,31,1434,1445,-11,1752,1801,-9,"DL",1531,"N327NB","LGA","RSW",163,1080,14,45,2013-03-31 14:00:00
"89",2013,8,17,849,850,-1,1059,1144,-45,"UA",526,"N405UA","EWR","SAN",293,2425,8,50,2013-08-17 08:00:00
"90",2013,5,31,1415,1358,17,1653,1715,-22,"DL",1331,"N311US","LGA","MIA",145,1096,13,58,2013-05-31 13:00:00
"91",2013,3,24,604,610,-6,902,910,-8,"AA",1895,"N5CKAA","EWR","MIA",157,1085,6,10,2013-03-24 06:00:00
"92",2013,2,27,602,605,-3,824,821,3,"9E",3953,"N812AY","EWR","CVG",111,569,6,5,2013-02-27 06:00:00
"93",2013,8,12,858,859,-1,1133,1137,-4,"DL",1747,"N990DL","LGA","ATL",106,762,8,59,2013-08-12 08:00:00
"94",2013,11,3,1250,1300,-10,1445,1458,-13,"EV",3818,"N16963","EWR","DTW",87,488,13,0,2013-11-03 13:00:00
"95",2013,2,7,803,812,-9,935,950,-15,"B6",1051,"N249JB","JFK","PIT",69,340,8,12,2013-02-07 08:00:00
"96",2013,8,3,1015,1019,-4,1154,1204,-10,"US",855,"N439US","EWR","CLT",76,529,10,19,2013-08-03 10:00:00
"97",2013,8,14,653,710,-17,923,915,8,"MQ",3547,"N722MQ","LGA","XNA",170,1147,7,10,2013-08-14 07:00:00
"98",2013,10,4,1329,1330,-1,1551,1553,-2,"DL",2043,"N315NB","JFK","ATL",102,760,13,30,2013-10-04 13:00:00
"99",2013,8,6,1909,1920,-11,2155,2210,-15,"AA",1691,"N487AA","EWR","DFW",185,1372,19,20,2013-08-06 19:00:00
"100",2013,7,1,2235,1905,210,2352,2108,164,"9E",3525,"N914XJ","JFK","ORD",113,740,19,5,2013-07-01 19:00:00
"101",2013,1,3,606,610,-4,917,910,7,"AA",1895,"N638AA","EWR","MIA",159,1085,6,10,2013-01-03 06:00:00
"102",2013,12,3,1201,1145,16,1342,1315,27,"WN",172,"N280WN","LGA","MDW",123,725,11,45,2013-12-03 11:00:00
"103",2013,5,26,624,630,-6,901,916,-15,"B6",27,"N705JB","JFK","TPA",140,1005,6,30,2013-05-26 06:00:00
"104",2013,8,24,602,605,-3,830,839,-9,"B6",583,"N358JB","JFK","MCO",130,944,6,5,2013-08-24 06:00:00
"105",2013,4,10,929,932,-3,1019,1042,-23,"B6",1004,"N586JB","JFK","BOS",30,187,9,32,2013-04-10 09:00:00
"106",2013,11,1,1717,1704,13,1916,1908,8,"US",894,"N152UW","LGA","CLT",101,544,17,4,2013-11-01 17:00:00
"107",2013,8,20,943,950,-7,1143,1220,-37,"VX",251,"N638VA","JFK","LAS",275,2248,9,50,2013-08-20 09:00:00
"108",2013,10,18,557,600,-3,715,717,-2,"EV",5747,"N828AS","LGA","IAD",57,229,6,0,2013-10-18 06:00:00
"109",2013,7,26,756,800,-4,1039,1053,-14,"B6",901,"N552JB","JFK","FLL",140,1069,8,0,2013-07-26 08:00:00
"110",2013,9,27,1158,1200,-2,1310,1310,0,"WN",295,"N282WN","EWR","MDW",109,711,12,0,2013-09-27 12:00:00
"111",2013,1,6,1758,1800,-2,1906,1910,-4,"WN",808,"N957WN","EWR","BWI",39,169,18,0,2013-01-06 18:00:00
"112",2013,10,28,622,630,-8,801,813,-12,"EV",4334,"N13538","EWR","CMH",75,463,6,30,2013-10-28 06:00:00
"113",2013,11,30,820,830,-10,1028,1100,-32,"F9",509,"N214FR","LGA","DEN",220,1620,8,30,2013-11-30 08:00:00
"114",2013,4,11,916,840,36,1051,1010,41,"EV",4409,"N16961","EWR","RIC",54,277,8,40,2013-04-11 08:00:00
"115",2013,3,21,1440,1450,-10,1623,1627,-4,"9E",4357,"N8665A","JFK","ORF",57,290,14,50,2013-03-21 14:00:00
"116",2013,1,6,1950,1929,21,2208,2135,33,"EV",4536,"N14923","EWR","CVG",104,569,19,29,2013-01-06 19:00:00
"117",2013,3,16,1817,1810,7,2126,2130,-4,"AA",1611,"N3ECAA","LGA","MIA",156,1096,18,10,2013-03-16 18:00:00
"118",2013,9,24,1143,1147,-4,1452,1505,-13,"UA",1212,"N27477","EWR","SFO",345,2565,11,47,2013-09-24 11:00:00
"119",2013,8,11,1822,1825,-3,2126,2147,-21,"AS",7,"N413AS","EWR","SEA",317,2402,18,25,2013-08-11 18:00:00
"120",2013,1,8,804,805,-1,1026,1029,-3,"9E",3538,"N913XJ","JFK","MSP",169,1029,8,5,2013-01-08 08:00:00
"121",2013,1,27,2058,2058,0,2157,2207,-10,"B6",1020,"N623JB","JFK","BOS",41,187,20,58,2013-01-27 20:00:00
"122",2013,12,18,1728,1730,-2,2041,2046,-5,"B6",359,"N705JB","JFK","BUR",355,2465,17,30,2013-12-18 17:00:00
"123",2013,7,21,804,815,-11,919,935,-16,"MQ",3355,"N6EAMQ","LGA","BNA",106,764,8,15,2013-07-21 08:00:00
"124",2013,9,30,910,912,-2,1028,1025,3,"B6",208,"N228JB","JFK","PWM",46,273,9,12,2013-09-30 09:00:00
"125",2013,6,28,610,610,0,728,725,3,"WN",273,"N8329B","LGA","MDW",109,725,6,10,2013-06-28 06:00:00
"126",2013,11,30,1014,1015,-1,1301,1330,-29,"DL",1174,"N336NB","LGA","PBI",145,1035,10,15,2013-11-30 10:00:00
"127",2013,10,7,NA,2000,NA,NA,2120,NA,"US",2195,NA,"LGA","DCA",NA,214,20,0,2013-10-07 20:00:00
"128",2013,12,7,NA,900,NA,NA,1220,NA,"AA",1121,"N3EWAA","LGA","DFW",NA,1389,9,0,2013-12-07 09:00:00
"129",2013,9,11,828,836,-8,947,944,3,"B6",2280,"N284JB","EWR","BOS",44,200,8,36,2013-09-11 08:00:00
"130",2013,7,10,728,730,-2,1027,1025,2,"AA",33,"N328AA","JFK","LAX",308,2475,7,30,2013-07-10 07:00:00
"131",2013,1,2,2259,2100,119,122,2332,110,"DL",1247,"N362NW","LGA","ATL",124,762,21,0,2013-01-02 21:00:00
"132",2013,5,4,648,635,13,842,900,-18,"UA",528,"N840UA","EWR","PHX",277,2133,6,35,2013-05-04 06:00:00
"133",2013,12,27,1009,1010,-1,1213,1226,-13,"EV",4567,"N27190","EWR","MCI",162,1092,10,10,2013-12-27 10:00:00
"134",2013,9,17,723,729,-6,909,934,-25,"EV",4144,"N14179","EWR","CHS",89,628,7,29,2013-09-17 07:00:00
"135",2013,5,20,954,1000,-6,1230,1319,-49,"UA",642,"N554UA","JFK","SFO",311,2586,10,0,2013-05-20 10:00:00
"136",2013,9,1,1142,1154,-12,1334,1403,-29,"EV",4181,"N14203","EWR","MCI",153,1092,11,54,2013-09-01 11:00:00
"137",2013,5,17,1924,1830,54,2136,2100,36,"UA",697,"N445UA","EWR","DEN",205,1605,18,30,2013-05-17 18:00:00
"138",2013,8,17,702,700,2,858,912,-14,"UA",1506,"N17730","EWR","DEN",210,1605,7,0,2013-08-17 07:00:00
"139",2013,8,8,801,800,1,925,923,2,"EV",4498,"N12900","EWR","PWM",52,284,8,0,2013-08-08 08:00:00
"140",2013,11,14,1204,1205,-1,1310,1330,-20,"WN",483,"N784SW","EWR","MDW",107,711,12,5,2013-11-14 12:00:00
"141",2013,7,20,1130,1130,0,1311,1327,-16,"US",1085,"N555AY","LGA","CLT",76,544,11,30,2013-07-20 11:00:00
"142",2013,10,28,631,545,46,854,827,27,"UA",1714,"N23721","LGA","IAH",187,1416,5,45,2013-10-28 05:00:00
"143",2013,10,9,1653,1659,-6,1907,1930,-23,"EV",4705,"N12924","EWR","ATL",110,746,16,59,2013-10-09 16:00:00
"144",2013,5,6,1623,1630,-7,1841,1853,-12,"FL",716,"N979AT","LGA","ATL",108,762,16,30,2013-05-06 16:00:00
"145",2013,8,13,1353,1312,41,1655,1610,45,"UA",1186,"N48127","EWR","MIA",166,1085,13,12,2013-08-13 13:00:00
"146",2013,10,6,1557,1505,52,1838,1802,36,"DL",2181,"N323NB","LGA","MCO",128,950,15,5,2013-10-06 15:00:00
"147",2013,11,17,1725,1730,-5,2015,2005,10,"DL",1499,"N302NB","LGA","ATL",125,762,17,30,2013-11-17 17:00:00
"148",2013,5,20,1300,1300,0,1555,1615,-20,"VX",411,"N626VA","JFK","LAX",317,2475,13,0,2013-05-20 13:00:00
"149",2013,2,23,1525,1527,-2,1700,1704,-4,"UA",1234,"N73259","EWR","CLE",73,404,15,27,2013-02-23 15:00:00
"150",2013,3,19,834,838,-4,953,957,-4,"UA",367,"N481UA","EWR","BOS",45,200,8,38,2013-03-19 08:00:00
"151",2013,7,22,607,610,-3,720,725,-5,"WN",273,"N8311Q","LGA","MDW",108,725,6,10,2013-07-22 06:00:00
"152",2013,10,20,744,751,-7,1108,1043,25,"UA",450,"N815UA","EWR","DFW",228,1372,7,51,2013-10-20 07:00:00
"153",2013,7,29,1033,1025,8,1232,1222,10,"US",604,"N665AW","EWR","PHX",277,2133,10,25,2013-07-29 10:00:00
"154",2013,3,5,1530,1540,-10,1752,1820,-28,"DL",1344,"N349NB","LGA","MCI",160,1107,15,40,2013-03-05 15:00:00
"155",2013,8,21,555,605,-10,821,820,1,"MQ",3550,"N531MQ","LGA","ATL",117,762,6,5,2013-08-21 06:00:00
"156",2013,8,12,626,630,-4,823,837,-14,"US",2085,"N180US","LGA","CLT",87,544,6,30,2013-08-12 06:00:00
"157",2013,5,2,NA,1700,NA,NA,1830,NA,"MQ",4323,"N626MQ","JFK","ORF",NA,290,17,0,2013-05-02 17:00:00
"158",2013,9,29,921,929,-8,1144,1158,-14,"EV",4140,"N12175","EWR","ATL",101,746,9,29,2013-09-29 09:00:00
"159",2013,2,18,1334,1340,-6,1624,1648,-24,"B6",83,"N712JB","JFK","SEA",332,2422,13,40,2013-02-18 13:00:00
"160",2013,10,27,1540,1545,-5,1648,1721,-33,"EV",5293,"N738EV","LGA","ORF",48,296,15,45,2013-10-27 15:00:00
"161",2013,4,27,1336,1339,-3,1622,1655,-33,"B6",209,"N639JB","JFK","LGB",317,2465,13,39,2013-04-27 13:00:00
"162",2013,1,11,1253,1259,-6,1459,1456,3,"US",1459,"N194UW","LGA","CLT",100,544,12,59,2013-01-11 12:00:00
"163",2013,2,7,1957,2000,-3,2156,2208,-12,"EV",3822,"N13969","EWR","TYS",96,631,20,0,2013-02-07 20:00:00
"164",2013,10,1,626,635,-9,818,833,-15,"US",2023,"N171US","EWR","CLT",72,529,6,35,2013-10-01 06:00:00
"165",2013,1,21,1310,1259,11,1403,1408,-5,"UA",561,"N826UA","EWR","BOS",38,200,12,59,2013-01-21 12:00:00
"166",2013,4,12,1406,1300,66,1529,1438,51,"UA",487,"N815UA","LGA","ORD",114,733,13,0,2013-04-12 13:00:00
"167",2013,7,21,2239,2000,159,49,2230,139,"DL",1147,"N916DL","LGA","ATL",104,762,20,0,2013-07-21 20:00:00
"168",2013,8,18,802,803,-1,959,1025,-26,"UA",734,"N564UA","EWR","LAS",273,2227,8,3,2013-08-18 08:00:00
"169",2013,12,16,1255,1300,-5,1427,1428,-1,"UA",1734,"N17139","EWR","ORD",125,719,13,0,2013-12-16 13:00:00
"170",2013,11,14,741,745,-4,1020,1042,-22,"UA",283,"N672UA","EWR","IAH",192,1400,7,45,2013-11-14 07:00:00
"171",2013,11,7,1245,1245,0,1538,1600,-22,"AA",1697,"N5FMAA","JFK","MIA",154,1089,12,45,2013-11-07 12:00:00
"172",2013,12,17,824,800,24,1210,1142,28,"UA",397,"N587UA","JFK","SFO",342,2586,8,0,2013-12-17 08:00:00
"173",2013,4,28,1557,1559,-2,1707,1712,-5,"EV",4299,"N17560","EWR","DCA",45,199,15,59,2013-04-28 15:00:00
"174",2013,6,25,912,905,7,1103,1115,-12,"DL",181,"N313US","LGA","DTW",78,502,9,5,2013-06-25 09:00:00
"175",2013,3,21,1716,1715,1,2026,2037,-11,"DL",503,"N3762Y","JFK","SAN",334,2446,17,15,2013-03-21 17:00:00
"176",2013,10,12,1758,1805,-7,1912,1933,-21,"EV",5514,"N718EV","LGA","ROC",38,254,18,5,2013-10-12 18:00:00
"177",2013,3,11,1013,1005,8,1120,1120,0,"EV",5711,"N829AS","JFK","IAD",49,228,10,5,2013-03-11 10:00:00
"178",2013,1,21,1328,1315,13,1412,1411,1,"EV",4368,"N13914","EWR","BDL",24,116,13,15,2013-01-21 13:00:00
"179",2013,11,1,1624,1620,4,1837,1825,12,"9E",3327,"N906XJ","JFK","RDU",81,427,16,20,2013-11-01 16:00:00
"180",2013,2,18,1106,1114,-8,1154,1218,-24,"EV",3260,"N12160","EWR","PVD",36,160,11,14,2013-02-18 11:00:00
"181",2013,5,21,1529,1529,0,1803,1812,-9,"UA",1602,"N37281","EWR","IAH",183,1400,15,29,2013-05-21 15:00:00
"182",2013,3,10,1344,1345,-1,1630,1655,-25,"B6",209,"N595JB","JFK","LGB",320,2465,13,45,2013-03-10 13:00:00
"183",2013,6,11,1759,1800,-1,2105,2140,-35,"AA",177,"N323AA","JFK","SFO",346,2586,18,0,2013-06-11 18:00:00
"184",2013,5,31,1622,1629,-7,1808,1814,-6,"MQ",4415,"N721MQ","LGA","RDU",66,431,16,29,2013-05-31 16:00:00
"185",2013,2,5,1819,1830,-11,2016,2015,1,"MQ",4674,"N546MQ","LGA","CLE",71,419,18,30,2013-02-05 18:00:00
"186",2013,3,24,1845,1800,45,1955,1917,38,"B6",1307,"N324JB","JFK","IAD",48,228,18,0,2013-03-24 18:00:00
"187",2013,8,5,1353,1359,-6,1541,1603,-22,"B6",1373,"N354JB","JFK","CHS",89,636,13,59,2013-08-05 13:00:00
"188",2013,4,9,927,928,-1,1111,1131,-20,"EV",4170,"N13969","EWR","CLT",77,529,9,28,2013-04-09 09:00:00
"189",2013,10,23,1458,1429,29,1619,1548,31,"B6",286,"N192JB","JFK","ROC",49,264,14,29,2013-10-23 14:00:00
"190",2013,7,20,2059,2030,29,2341,2204,97,"9E",3395,"N936XJ","JFK","DCA",49,213,20,30,2013-07-20 20:00:00
"191",2013,4,5,2038,1925,73,2357,2243,74,"DL",2139,"N925DL","LGA","MIA",149,1096,19,25,2013-04-05 19:00:00
"192",2013,2,18,919,910,9,1051,1032,19,"B6",20,"N292JB","JFK","ROC",55,264,9,10,2013-02-18 09:00:00
"193",2013,4,13,1656,1657,-1,1941,2014,-33,"B6",185,"N586JB","JFK","SAN",329,2446,16,57,2013-04-13 16:00:00
"194",2013,1,24,631,630,1,826,830,-4,"MQ",4599,"N544MQ","LGA","MSP",157,1020,6,30,2013-01-24 06:00:00
"195",2013,11,20,1542,1545,-3,1646,1705,-19,"AA",256,"N3HKAA","JFK","BOS",35,187,15,45,2013-11-20 15:00:00
"196",2013,8,19,1607,1610,-3,1737,1810,-33,"EV",5461,"N724EV","LGA","RDU",69,431,16,10,2013-08-19 16:00:00
"197",2013,11,30,2143,2145,-2,23,46,-23,"B6",1901,"N510JB","JFK","FLL",142,1069,21,45,2013-11-30 21:00:00
"198",2013,9,5,841,845,-4,1037,1053,-16,"US",2071,"N721UW","LGA","CLT",87,544,8,45,2013-09-05 08:00:00
"199",2013,7,1,1918,1835,43,2047,2043,4,"DL",2019,"N325US","LGA","MSP",133,1020,18,35,2013-07-01 18:00:00
"200",2013,10,25,917,915,2,1210,1230,-20,"AA",1499,"N5FPAA","JFK","MIA",154,1089,9,15,2013-10-25 09:00:00
"201",2013,4,21,756,800,-4,950,1018,-28,"DL",1169,"N353NW","JFK","DTW",87,509,8,0,2013-04-21 08:00:00
"202",2013,7,5,1104,1115,-11,1239,1305,-26,"MQ",3281,"N713MQ","LGA","CMH",76,479,11,15,2013-07-05 11:00:00
