"Prénom","Nom","Genre","Rôles","Responsabilités","Arrondissement","Nom du district","Nom du parti","Adresse ligne 1 (Hôtel de Ville)","Adresse ligne 2 (Hôtel de Ville)","Localité (Hôtel de Ville)","Province (Hôtel de Ville)","Code postal (Hôtel de Ville)","Adresse ligne 1 (Arrondissement)","Adresse ligne 2 (Arrondissement)","Localité (Arrondissement)","Province (Arrondissement)","Code postal (Arrondissement)","Téléphone (Arrondissement)","Téléphone (Hôtel de Ville)","Télécopieur","Courriel","URL d'une photo","URL source","Poste"
"Karine","BOIVIN ROY","Madame","Conseillère de la ville; Leader de l'opposition officielle; Présidente de la Commission sur l'examen des contrats
",,"Mercier - Hochelaga-Maisonneuve","Louis-Riel","Ensemble Montréal",,,,,,"6854, rue Sherbrooke Est",,"Montréal","Québec","H1N 1E1","514 872-2933",,"514-872-7125","karine.boivinroy@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/paqd7g4b6udh64yfhnek.jpg","https://montreal.ca/elus/karine-boivin-roy ","7,40"
"Younes","BOUKALA","Monsieur","Conseiller d'arrondissement;  Membre de la Commission sur la culture, le patrimoine et les sports; Membre à la Commission sur la sécurité publique; Membre à la Commission sur l'examen des contrats 
",,"Lachine","J.-Émery-Provost","Projet Montréal - Équipe Valérie Plante",,,,,,"1800, boulevard Saint-Joseph",,"Lachine","Québec","H8S 2N4","514 634-3471 p. 280",,"514 634-8164","younes.boukala@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/whaszsdmv7jpzcvxa7ga.jpg","https://montreal.ca/elus/younes-boukala ","4,20"
"Caroline","BOURGEOIS","Madame","Mairesse d'arrondissement; Conseillère associée; Membre du Comité exécutif","Développement économique; l'Est de Montréal","Rivière-des-Prairies - Pointe-aux-Trembles",,"Projet Montréal - Équipe Valérie Plante","155, rue Notre-Dame Est","bureau 210","Montréal","Québec","H2Y 1B5","12090, rue Notre-Dame Est","2e étage","Montréal","Québec","H1B 2Z1","514 868-4050",,"514 868-4353","caroline.bourgeois@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/pkhq8zjrwhpfx8xqd5ju.jpg","https://montreal.ca/elus/caroline-bourgeois ","12,00"
"Éric Alan","CALDWELL","Monsieur","Conseiller de la ville; Membre du comité exécutif; Membre du conseil d'agglomération
","Urbanisme; Mobilité","Mercier - Hochelaga-Maisonneuve","Hochelaga","Projet Montréal - Équipe Valérie Plante","155, rue Notre-Dame Est","bureau 210","Montréal","Québec","H2Y 1B5","6854, rue Sherbrooke Est",,"Montréal","Québec","H1N 1E1","514 872-9899",,,"ericalan.caldwell@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/klx97dl03tixgtjd9dcw.jpg","https://montreal.ca/elus/eric-alan-caldwell ","7,30"
"Lisa","CHRISTENSEN","Madame","Conseillère d'arrondissement; Membre de la Commission sur l'eau, l'environnement, le développement durable et les grands parcs; Membre de la Commission sur les finances et l'administration; Membre de la Commission sur le transport et les travaux publics",,"Rivière-des-Prairies - Pointe-aux-Trembles","La Pointe-aux-Prairies","Projet Montréal - Équipe Valérie Plante",,,,,,"12090, rue Notre-Dame Est",,"Montréal","Québec","H1B 2Z1","514-210-9094",,"514 868-4353","lisa.christensen@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/czwydp4aspn4sr0j7b19.jpg","https://montreal.ca/elus/lisa-christensen ","12,11"
"Catherine","CLÉMENT-TALBOT","Madame","Conseillère de la ville; Membre de la Commission sur l'eau, l'environnement, le développement durable et les grands parcs
",,"Pierrefonds-Roxboro","Cap-Saint-Jacques","Ensemble Montréal",,,,,,"13665, boul. de Pierrefonds",,"Pierrefonds","Québec","H9A 2Z4","514 624-1174",,"514 624-1415","catherine.clement-talbot@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/yf7t45m15ca5ytohihvt.jpg","https://montreal.ca/elus/catherine-clement-talbot ","10,20"
"Jacques","COHEN","Monsieur","Conseiller d'arrondissement",,"Saint-Laurent","Côte-de-Liesse","Ensemble Montréal",,,,,,"777, boulevard Marcel-Laurin ",,"Saint-Laurent","Québec","H4M 2M7","514 855-6000 p. 4044",,"514 855-6049","jacques.cohen@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/t8eakffvgtealux22lin.jpg","https://montreal.ca/elus/jacques-cohen ","14,11"
"Jean-Marc","CORBEIL","Monsieur","Conseiller d'arrondissement",,"Outremont","Robert-Bourassa","Indépendant",,,,,,"543, ch. de la Côte-Ste-Catherine",,"Outremont","Québec","H2V 4R2","438 922-2655",,"514 495-6290","jean-marc.corbeil@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/gsjnytknu46wxzebz1kc.jpg","https://montreal.ca/elus/jean-marc-corbeil ","9,30"
"Josué","CORVIL","Monsieur","Conseiller de la ville; Membre de la Commission sur le développement social et la diversité montréalaise
",,"Villeray - Saint-Michel – Parc-Extension","Saint-Michel","Ensemble Montréal",,,,,,"405, avenue Ogilvy","bureau 103","Montréal","Québec","H3N 1M3","514 872-7800",,"514 872-2402","josue.corvil@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/zqkgf7xtfjhgzomnubeb.jpg","https://montreal.ca/elus/josue-corvil ","19,10"
"François William","CROTEAU","Monsieur","Maire d'arrondissement; Membre du comité exécutif; Membre du conseil d'agglomération; Conseiller de la Ville","Ville intelligente; Technologies de l'information; Innovation; Enseignement supérieur","Rosemont-La Petite-Patrie",,"Projet Montréal - Équipe Valérie Plante","155, rue Notre-Dame Est","bureau 210","Montréal","Québec","H2Y 1B5","5650, rue D’Iberville","2e étage","Montréal","Québec","H2G 2B3","514 872-6473","514 872-1231","514 868-3932","francois.croteau@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/ilvbwoktenwawfht0dmp.jpg","https://montreal.ca/elus/francois-william-croteau ","13,00"
"Suzanne","DÉCARIE","Madame","Conseillère de la ville; Membre de la Commission sur le développement social et la diversité montréalaise
",,"Rivière-des-Prairies - Pointe-aux-Trembles","Pointe-aux-Trembles","Ensemble Montréal",,,,,,"12090, rue Notre-Dame Est",,"Montréal","Québec","H1B 2Z1","514-868-4350",,"514 868-4353","suzanne.decarie@montreal.ca ","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/sz6thmmonhgvxzwccahr.jpg","https://montreal.ca/elus/suzanne-decarie ","12,20"
"Serge","DECLOS","Monsieur","Conseiller d'arrondissement   ",,"LaSalle","Cecil-P.-Newman","Équipe LaSalle",,,,,,"55, avenue Dupras",,"LaSalle","Québec","H8R 4A8","514-367-6000, poste 6244",,"514 367-6600","serge.declos@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/uykkowk4icimhd9wipje.jpg","https://montreal.ca/elus/serge-declos ","5,21"
"Mary","DEROS","Madame","Conseillère de la ville; Vice-présidente de la Commission sur le développement social et la diversité montréalaise
",,"Villeray - Saint-Michel - Parc-Extension","Parc-Extension","Ensemble Montréal",,,,,,"405, avenue Ogilvy","bureau 103","Montréal","Québec","H3N 1M3","514 872-3103",,"514 872-2402","mary.deros@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/dspuwo5xshnqxnkxyuyb.jpg","https://montreal.ca/elus/mary-deros ","19,40"
"Richard","DESCHAMPS","Monsieur","Conseiller de la ville; Président de la Commission sur les finances et l'administration
",,"LaSalle","Sault-Saint-Louis","Équipe LaSalle",,,,,,"55, avenue Dupras",,"LaSalle","Québec","H8R 4A8","514-367-6000, poste 6209",,"514 367-6600","richard.deschamps@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/tlldm8cy8id5nzdev5ji.jpg","https://montreal.ca/elus/richard-deschamps ","5,10"
"Alan","DESOUSA","Monsieur","Maire d'arrondissement; Vice-président de la Commission sur les finances et l'administration; Membre du Comité de vérification élargi; Membre de la Commission sur l'inspecteur général
",,"Saint-Laurent",,"Ensemble Montréal",,,,,,"777, boulevard Marcel-Laurin ",,"Saint-Laurent","Québec","H4M 2M7","514 855-6000, poste 4005",,"514 855-6049","alan.desousa@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/tgumfatvo8uhkksbjffo.jpg","https://montreal.ca/elus/alan-desousa ","14,00"
"Gilles","DÉZIEL","Monsieur","Conseiller d'arrondissement; Membre de la Commission sur l'eau, l'environnement, le développement durable et les grands parcs ",,"Rivière-des-Prairies - Pointe-aux-Trembles","Pointe-aux-Trembles","Ensemble Montréal",,,,,,"12090, rue Notre-Dame Est",,"Montréal","Québec","H1B 2Z1","514-868-4352",,"514 868-4353","gilles.deziel@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/ekbl42cp0gvsdp0dib9n.jpg","https://montreal.ca/elus/gilles-deziel ","12,21"
"Benoit","DORAIS","Monsieur","Maire d'arrondissement; Président du comité exécutif; Membre du conseil d'agglomération; Membre de la Communauté métropolitaine de Montréal
","Finances; Capital humain; Affaires juridiques; Évaluation foncière; Performance organisationnelle","Sud-Ouest",,"Projet Montréal - Équipe Valérie Plante","155, rue Notre-Dame Est","bureau 210","Montréal","Québec","H2Y 1B5","815, rue Bel-Air",,"Montréal","Québec","H4C 2K4","514 872-6814","514 872-1191","514 872-3705","benoit.dorais@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/rtt6exal82ufof2k0teb.jpg","https://montreal.ca/elus/benoit-dorais ","16,00"
"Sterling","DOWNEY","Monsieur","Conseiller de la ville; Maire suppléant; Membre de la Commission de la présidence du conseil; Membre du conseil d'agglomération; Membre de la Communauté métropolitaine de Montréal; Membre Commission développement social et la diversité montréalaise
",,"Verdun","Desmarchais-Crawford","Projet Montréal - Équipe Valérie Plante",,,,,,"4555, rue de Verdun",,"Verdun","Québec","H4G 1M4","514 765-7010",,"514 765-7013","sterling.downey@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/m5gasfhcjtgqn7cwlbud.jpg","https://montreal.ca/elus/sterling-downey ","17,20"
"Rosannie","FILATO","Madame","Conseillère de la ville; Membre du conseil d'agglomération
",,"Villeray - Saint-Michel - Parc-Extension","Villeray","Projet Montréal - Équipe Valérie Plante","155, rue Notre-Dame Est","bureau 210","Montréal","Québec","H2Y 1B5","405, avenue Ogilvy","bureau 103","Montréal","Québec","H3N 1M3",,"514 872-5843","514 872-2402","rosannie.filato@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/zxngw7uwylmqeobwflsb.jpg","https://montreal.ca/elus/rosannie-filato ","19,30"
"Michèle","FLANNERY","Madame","Conseillère d'arrondissement; Membre de la Commission sur la culture, le patrimoine et les sports; Membre de la Commission de la sécurité publique",,"Lachine","du Fort-Rolland","Projet Montréal - Équipe Valérie Plante",,,,,,"1800, boulevard Saint-Joseph",,"Lachine","Québec","H8S 2N4","514-634-3471",,"514 634-8164","michele.flannery@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/kxgtwmkjehrt88trlf54.jpg","https://montreal.ca/elus/michele-flannery ","4,30"
"Giuliana","FUMAGALLI","Madame","Mairesse d'arrondissement; Conseillère de la Ville
",,"Villeray - Saint-Michel - Parc-Extension",,"Indépendante",,,,,,"405, avenue Ogilvy","bureau 103","Montréal","Québec","H3N 1M3","514 209-1278",,"514 872-2402","giuliana.fumagalli@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/yjkonvlrs9won5zfaj7o.jpg","https://montreal.ca/elus/giuliana-fumagalli ","19,00"
"Luc","GAGNON","Monsieur","Conseiller d'arrondissement; Membre de la Commission sur le développement économique
et urbain et l’habitation
",,"Verdun","Desmarchais-Crawford","Projet Montréal - Équipe Valérie Plante",,,,,,"4555, rue de Verdun",,"Verdun","Québec","H4G 1M4","514 765-7010",,"514 765-7013","luc.gagnon3@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/hd6qrc1qpbs3xvuqdtxm.jpg","https://montreal.ca/elus/luc-gagnon ","17,21"
"Effie","GIANNOU","Madame","Conseillère de la ville",,"Ahuntsic-Cartierville","Bordeaux-Cartierville","Ensemble Montréal",,,,,,"555, rue Chabanel Ouest","6e étage","Montréal","Québec","H2N 2H8","514 872-2246",,"514 868-3324","effie.giannou@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/ijkj1afgvlyftwvpnbus.jpg","https://montreal.ca/elus/effie-giannou ","1,40"
"Yves","GIGNAC","Monsieur","Conseiller d'arrondissement; Membre de la Commission sur le développement économique et urbain et l'habitation
",,"Pierrefonds-Roxboro","Cap-Saint-Jacques","Ensemble Montréal",,,,,,"13665, boul. de Pierrefonds",,"Pierrefonds","Québec","H9A 2Z4","514 624-1175",,"514 624-1415","yves.gignac@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/w8hj7onegwfmbrqc3r5p.jpg","https://montreal.ca/elus/yves-gignac ","10,21"
"Marianne","GIGUÈRE","Madame","Conseillère de la ville; Conseillère associée; Membre de la Commission de la présidence du conseil; Membre du conseil de la Communauté métropolitaine de Montréal   
","Transports actifs","Plateau-Mont-Royal","De Lorimier","Projet Montréal - Équipe Valérie Plante","155, rue Notre-Dame Est","bureau 210","Montréal","Québec","H2Y 1B5","201, avenue Laurier Est ","5e étage","Montréal","Québec","H2T 3E6","514 872-8023","514 868-5196",,"marianne.giguere@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/hqxndejhzsexwykrk4ix.jpg","https://montreal.ca/elus/marianne-giguere ","11,20"
"Christine","GOSSELIN","Madame","Conseillère de la ville; Membre du conseil d'agglomération; Membre de la Commission sur le schéma d'aménagement et de développement de Montréal;  Membre de la Commission sur la culture, le patrimoine et les sports; ",,"Rosemont-La Petite-Patrie","Vieux-Rosemont","Indépendante","155, rue Notre-Dame Est","bureau 210","Montréal","Québec","H2Y 1B5","5650, rue D’Iberville","2e étage","Montréal","Québec","H2G 2B3","514 868-3907",,"514 868-3932","christine.gosselin@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/ctmtz2m63nobbwe3k8fy.jpg","https://montreal.ca/elus/christine-gosselin ","13,30"
"Nathalie","GOULET","Madame","Conseillère de la ville; Membre du comité exécutif; Membre du conseil d'agglomération; Membre de la Commission sur le schéma d'aménagement et de développement de Montréal
","Inclusion sociale; Sports et loisirs; Condition féminine; Itinérance; Jeunesse","Ahuntsic-Cartierville","Ahuntsic","Projet Montréal - Équipe Valérie Plante","155, rue Notre-Dame Est","bureau 210","Montréal","Québec","H2Y 1B5","555, rue Chabanel Ouest","6e étage","Montréal","Québec","H2N 2H8","514 872-2246","514 872-0297","514 868-3324","nathalie.goulet@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/j0nhgmrgyz4shiyli3kt.jpg","https://montreal.ca/elus/nathalie-goulet ","1,30"
"Richard","GUAY","Monsieur","Conseiller de la ville; Membre de la Commission sur les finances et l'administration
",,"Rivière-des-Prairies - Pointe-aux-Trembles","La Pointe-aux-Prairies","Ensemble Montréal",,,,,,"12090, rue Notre-Dame Est",,"Montréal","Québec","H1B 2Z1","514-868-4356",,"514 868-4353","richard.guay@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/eiurxc8c16dbtzfuryp8.jpg","https://montreal.ca/elus/richard-guay ","12,10"
"Andrée","HÉNAULT","Madame","Conseillère de la ville; Membre de la Commission de la présidence du conseil

",,"Anjou",,"Équipe Anjou",,,,,,"7701 Boul Louis-H.-Lafontaine",,"Anjou","Québec","H1K 4B9 ","514 493-8051",,"514-493-8013","andree.henault@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/nayeuqc0d1rbpb1kk9f8.jpg","https://montreal.ca/elus/andree-henault ","2,01"
"Pierre","L'HEUREUX","Monsieur","Conseiller d'arrondissement; Membre de la Commission sur le transport et les travaux publics 
",,"Verdun","Champlain—L'Île-des-Sœurs","Ensemble Montréal",,,,,,"4555, rue de Verdun",,"Verdun","Québec","H4G 1M4","514 765-7010",,"514 765-7013","pierre.lheureux@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/mq33vnyurwfb2ar7gweu.jpg","https://montreal.ca/elus/pierre-lheureux ","17,11"
"Benoit","LANGEVIN","Monsieur","Conseiller de la ville; Vice-président de la Commission sur la culture, le patrimoine et les sports",,"Pierrefonds-Roxboro","Bois-de-Liesse","Ensemble Montréal",,,,,,"13665, boul. de Pierrefonds",,"Pierrefonds","Québec","H9A 2Z4","514 624-1488",,"514 624-1415","benoit.langevin@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/e0whglghtrci8xi9vekd.jpg","https://montreal.ca/elus/benoit-langevin ","10,10"
"Christian","LAROCQUE","Monsieur","Conseiller d'arrondissement; Membre de la Commission sur l'examen des contrats; Membre de la Commission sur le développement économique et urbain et l'habitation",,"Ile-Bizard - Sainte-Geneviève","Denis-Benjamin-Viger","Projet Montréal - Équipe Valérie Plante",,,,,,"350, montée de l'Église",,"L'Île-Bizard ","Québec","H9C 1G9","514 620-6448",,"514 620-8198","christian.larocque@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/ys30jf6wo3la5rmvqgvw.jpg","https://montreal.ca/elus/christian-larocque ","6,20"
"Laurence","LAVIGNE LALONDE","Madame","Conseillère de la ville; Membre du comité exécutif;","Transition écologique et résilience; Espace pour la vie; Agriculture urbaine","Mercier - Hochelaga-Maisonneuve","Maisonneuve-Longue-Pointe","Projet Montréal - Équipe Valérie Plante","155, rue Notre-Dame Est","bureau 210","Montréal","Québec","H2Y 1B5","6854, rue Sherbrooke Est",,"Montréal","Québec","H1N 1E1","514 872-9899","514 872-1231","514-872-7125","laurence.lavignelalonde@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/vh55lgqjry033tdnzyab.jpg","https://montreal.ca/elus/laurence-lavigne-lalonde ","7,20"
"Richard","LEBLANC","Monsieur","Conseiller d'arrondissement",,"Anjou","Est","Équipe Anjou",,,,,,"7701 Boul Louis-H.-Lafontaine",,"Anjou","Québec","H1K 4B9 ","514 493-8017",,"514 493-8013","richard.leblanc@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/zd6lsbcjowclhsreuutp.jpg","https://montreal.ca/elus/richard-leblanc ","2,20"
"Louise","LEROUX","Madame","Conseillère d'arrondissement",,"Pierrefonds-Roxboro","Bois-de-Liesse","Ensemble Montréal",,,,,,"13665, boul. de Pierrefonds",,"Pierrefonds","Québec","H9A 2Z4","514 624-1053",,"514 624-1415","louise.leroux@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/vzpsx1zudkwljd5c9pet.jpg","https://montreal.ca/elus/louise-leroux ","10,11"
"Pierre","LESSARD-BLAIS","Monsieur","Maire d'arrondissement; Président de la Commission sur le schéma d'aménagement et de développement de Montréal; Membre du Comité de vérification élargi; Membre de la Commission sur l'inspecteur général",,"Mercier - Hochelaga-Maisonneuve",,"Projet Montréal - Équipe Valérie Plante",,,,,,"6854, rue Sherbrooke Est",,"Montréal","Québec","H1N 1E1","514-872-8759",,"514-868-4551","pierre.lessard-blais@montreal.ca","https://res.cloudinary.com/villemontreal/image/upload/q_auto,f_auto,dpr_auto,ar_1,c_crop/v1/portail/xojzwemynlufqzhvszly.jpg","https://montreal.ca/elus/pierre-lessard-blais ","7,00"
