Name;Date of Birth;Type of Parliamentarian;Riding/Senatorial Division;Province/Territory;Gender;Political Affiliation
Andreychuk, Raynell;1944-08-13;Senator (1993/03/11 - 2019/08/13);Saskatchewan (1993/03/11 - 2019/08/13);Saskatchewan;F;"Conservative Party of Canada (2004/02/02 - 2019/08/13)
Progressive Conservative Party (1993/03/11 - 2004/02/01)"
Angus, Charlie;1962-11-13;MP (2004/06/28 - );Timmins--James Bay (2004/06/28 - );Ontario;M;New Democratic Party (2004/06/28 - )
Angus, W. David;1937-07-20;Senator (1993/06/10 - 2012/07/21);Alma (1993/06/10 - 2012/07/21);Quebec;M;"Conservative Party of Canada (2004/02/02 - 2012/07/21)
Progressive Conservative Party (1993/06/10 - 2004/02/01)"
Armstrong, Scott;1966-07-08;MP (2009/11/09 - 2015/10/18);Cumberland--Colchester--Musquodoboit Valley (2009/11/09 - 2015/10/18);Nova Scotia;M;Conservative Party of Canada (2009/11/09 - 2015/10/18)
Arthur, André;1943-12-20;MP (2006/01/23 - 2011/05/01);Portneuf--Jacques-Cartier (2006/01/23 - 2011/05/01);Quebec;M;Independent (2006/01/23 - 2011/05/01)
Ashfield, Keith;1952-03-27;MP (2008/10/14 - 2015/10/18);Fredericton (2008/10/14 - 2015/10/18);New Brunswick;M;Conservative Party of Canada (2008/10/14 - 2015/10/18)
Ashton, Niki;1982-09-08;"MP (2015/10/19 - )
MP (2008/10/14 - 2015/10/18)";"Churchill--Keewatinook Aski (2015/10/19 - )
Churchill (2008/10/14 - 2015/10/18)";"Manitoba
Manitoba";F;New Democratic Party (2008/10/14 - )
Asselin, Gérard;1950-04-18;"MP (2004/06/28 - 2011/05/01)
MP (1993/10/25 - 2004/06/27)";"Manicouagan (2004/06/28 - 2011/05/01)
Charlevoix (1993/10/25 - 2004/06/27)";"Quebec
Quebec";M;Bloc Québécois (1993/10/25 - 2011/05/01)
Atamanenko, Alex;1945-01-23;MP (2006/01/23 - 2015/10/18);British Columbia Southern Interior (2006/01/23 - 2015/10/18);British Columbia;M;New Democratic Party (2006/01/23 - 2015/10/18)
Ataullahjan, Salma;1952-04-28;Senator (2010/07/09 - );Toronto (2010/07/09 - );Ontario;F;Conservative Party of Canada (2010/07/09 - )
Atkins, Norman K.;1934-06-26;Senator (1986/06/30 - 2009/06/27);Markham (1986/06/30 - 2009/06/27);Ontario;M;Progressive Conservative Party (1986/06/30 - 2009/06/27)
Bachand, Claude;1951-01-02;MP (1993/10/25 - 2011/05/01);Saint-Jean (1993/10/25 - 2011/05/01);Quebec;M;Bloc Québécois (1993/10/25 - 2011/05/01)
Bacon, Lise;1934-08-24;Senator (1994/09/15 - 2009/08/25);De la Durantaye (1994/09/15 - 2009/08/25);Quebec;F;Liberal Party of Canada (1994/09/15 - 2009/08/25)
Bagnell, Larry;1949-12-18;"MP (2015/10/19 - )
MP (2000/11/27 - 2011/05/01)";"Yukon (2015/10/19 - )
Yukon (2000/11/27 - 2011/05/01)";"Yukon
Yukon";M;"Liberal Party of Canada (2015/10/19 - )
Liberal Party of Canada (2000/11/27 - 2011/05/01)"
Bains, Navdeep Singh;1977-06-15;"MP (2015/10/19 - )
MP (2004/06/28 - 2011/05/01)";"Mississauga--Malton (2015/10/19 - )
Mississauga--Brampton South (2004/06/28 - 2011/05/01)";"Ontario
Ontario";M;"Liberal Party of Canada (2015/10/19 - )
Liberal Party of Canada (2004/06/28 - 2011/05/01)"
Baird, John;1969-05-25;MP (2006/01/23 - 2015/03/16);Ottawa West--Nepean (2006/01/23 - 2015/03/16);Ontario;M;Conservative Party of Canada (2006/01/23 - 2015/03/16)
Baker, George;1942-09-02;"MP (1988/11/21 - 2002/03/25)
MP (1974/07/08 - 1988/11/20)
Senator (2002/03/26 - 2017/09/03)";"Newfoundland and Labrador (2002/03/26 - 2017/09/03)
Gander--Grand Falls (1988/11/21 - 2002/03/25)
Gander--Twillingate (1974/07/08 - 1988/11/20)";"Newfoundland and Labrador
Newfoundland and Labrador
Newfoundland and Labrador";M;Liberal Party of Canada (1972/10/30 - 2017/09/03)
Banks, Tommy;1936-12-16;Senator (2000/04/07 - 2011/12/17);Alberta (2000/04/07 - 2011/12/17);Alberta;M;Liberal Party of Canada (2000/04/07 - 2011/12/17)
Beaudin, Josée;1961-12-19;MP (2008/10/14 - 2011/05/01);Saint-Lambert (2008/10/14 - 2011/05/01);Quebec;F;Bloc Québécois (2008/10/14 - 2011/05/01)
Bélanger, Mauril;1955-06-14;MP (1995/02/13 - 2016/08/15);Ottawa--Vanier (1995/02/13 - 2016/08/15);Ontario;M;Liberal Party of Canada (1995/02/13 - 2016/08/15)
Bellavance, André;1964-06-02;MP (2004/06/28 - 2015/10/18);Richmond--Arthabaska (2004/06/28 - 2015/10/18);Quebec;M;"Independent (2014/08/25 - 2015/10/18)
Bloc Québécois (2004/06/28 - 2014/08/24)"
Bennett, Carolyn;1950-12-19;"MP (2015/10/19 - )
MP (1997/06/02 - 2015/10/18)";"Toronto--St. Paul's (2015/10/19 - )
St. Paul's (1997/06/02 - 2015/10/18)";"Ontario
Ontario";F;Liberal Party of Canada (1997/06/02 - )
Benoit, Leon Earl;1950-07-06;"MP (2004/06/28 - 2015/10/18)
MP (1997/06/02 - 2004/06/27)
MP (1993/10/25 - 1997/06/01)";"Vegreville--Wainwright (2004/06/28 - 2015/10/18)
Lakeland (1997/06/02 - 2004/06/27)
Vegreville (1993/10/25 - 1997/06/01)";"Alberta
Alberta
Alberta";M;"Conservative Party of Canada (2003/12/23 - 2015/10/18)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1993/10/25 - 2000/03/26)"
Bergen, Candice;1964-09-27;MP (2008/10/14 - );Portage--Lisgar (2008/10/14 - );Manitoba;F;Conservative Party of Canada (2008/10/14 - )
Bernier, Maxime;1963-01-17;MP (2006/01/23 - 2019/10/20);Beauce (2006/01/23 - 2019/10/20);Quebec;M;"People's Party of Canada (2018/09/14 - )
Independent (2018/08/23 - 2018/09/13)
Conservative Party of Canada (2006/01/23 - 2018/08/22)"
Bevilacqua, Maurizio;1960-05-31;"MP (2004/06/28 - 2010/09/02)
MP (1997/06/02 - 2004/06/27)
MP (1990/12/10 - 1997/06/01)
MP (1988/11/21 - 1990/06/07)";"Vaughan (2004/06/28 - 2010/09/02)
Vaughan--King--Aurora (1997/06/02 - 2004/06/27)
York North (1990/12/10 - 1997/06/01)
York North (1988/11/21 - 1990/06/07)";"Ontario
Ontario
Ontario
Ontario";M;"Liberal Party of Canada (1990/12/10 - 2010/09/02)
Liberal Party of Canada (1988/11/21 - 1990/06/07)"
Bevington, Dennis Fraser;1953-03-26;MP (2006/01/23 - 2015/10/18);Western Arctic (2006/01/23 - 2015/10/18);Northwest Territories;M;New Democratic Party (2006/01/23 - 2015/10/18)
Bezan, James;1965-05-18;"MP (2015/10/19 - )
MP (2004/06/28 - 2015/10/18)";"Selkirk--Interlake--Eastman (2015/10/19 - )
Selkirk--Interlake (2004/06/28 - 2015/10/18)";"Manitoba
Manitoba";M;Conservative Party of Canada (2004/06/28 - )
Bigras, Bernard;1969-06-03;"MP (2004/06/28 - 2011/05/01)
MP (2000/06/29 - 2004/06/27)
MP (1997/06/02 - 2000/06/28)";"Rosemont--La Petite-Patrie (2004/06/28 - 2011/05/01)
Rosemont--Petite-Patrie (2000/06/29 - 2004/06/27)
Rosemont (1997/06/02 - 2000/06/28)";"Quebec
Quebec
Quebec";M;Bloc Québécois (1997/06/02 - 2011/05/01)
Biron, Michel;1934-03-15;Senator (2001/10/04 - 2009/03/16);Mille Isles (2001/10/04 - 2009/03/16);Quebec;M;Liberal Party of Canada (2001/10/04 - 2009/03/16)
Black, Dawn;1943-03-31;"MP (2006/01/23 - 2009/04/13)
MP (1988/11/21 - 1993/10/24)";"New Westminster--Coquitlam (2006/01/23 - 2009/04/13)
New Westminster--Burnaby (1988/11/21 - 1993/10/24)";"British Columbia
British Columbia";F;"New Democratic Party (2006/01/23 - 2009/04/13)
New Democratic Party (1988/11/21 - 1993/10/24)"
Blackburn, Jean-Pierre;1948-07-05;"MP (2006/01/23 - 2011/05/01)
MP (1984/09/04 - 1993/10/24)";"Jonquière--Alma (2006/01/23 - 2011/05/01)
Jonquière (1984/09/04 - 1993/10/24)";"Quebec
Quebec";M;"Conservative Party of Canada (2006/01/23 - 2011/05/01)
Progressive Conservative Party (1984/09/04 - 1993/10/24)"
Blais, Raynald;1954-01-04;MP (2004/06/28 - 2011/05/01);Gaspésie--Îles-de-la-Madeleine (2004/06/28 - 2011/05/01);Quebec;M;Bloc Québécois (2004/06/28 - 2011/05/01)
Blaney, Steven;1965-04-07;"MP (2015/10/19 - )
MP (2006/01/23 - 2015/10/18)";"Bellechasse--Les Etchemins--Lévis (2015/10/19 - )
Lévis--Bellechasse (2006/01/23 - 2015/10/18)";"Quebec
Quebec";M;Conservative Party of Canada (2006/01/23 - )
Block, Kelly;1961-11-29;"MP (2015/10/19 - )
MP (2008/10/14 - 2015/10/18)";"Carlton Trail--Eagle Creek (2015/10/19 - )
Saskatoon--Rosetown--Biggar (2008/10/14 - 2015/10/18)";"Saskatchewan
Saskatchewan";F;Conservative Party of Canada (2008/10/14 - )
Boisvenu, Pierre-Hugues;1949-02-11;Senator (2010/01/29 - );La Salle (2010/01/29 - );Quebec;M;"Conservative Party of Canada (2016/11/22 - )
Non-affiliated (2016/06/13 - 2016/11/21)
Independent (2015/06/04 - 2016/06/12)
Conservative Party of Canada (2010/01/29 - 2015/06/03)"
Bonsant, France;1952-08-17;MP (2004/06/28 - 2011/05/01);Compton--Stanstead (2004/06/28 - 2011/05/01);Quebec;F;Bloc Québécois (2004/06/28 - 2011/05/01)
Bouchard, Robert;1943-03-29;MP (2004/06/28 - 2011/05/01);Chicoutimi--Le Fjord (2004/06/28 - 2011/05/01);Quebec;M;Bloc Québécois (2004/06/28 - 2011/05/01)
Boucher, Sylvie;1962-12-17;"MP (2015/10/19 - 2019/10/20)
MP (2006/01/23 - 2011/05/01)";"Beauport--Côte-de-Beaupré--Île D’Orléans--Charlevoix (2015/10/19 - 2019/10/20)
Beauport--Limoilou (2006/01/23 - 2011/05/01)";"Quebec
Quebec";F;"Conservative Party of Canada (2015/10/19 - 2019/10/20)
Conservative Party of Canada (2006/01/23 - 2011/05/01)"
Boughen, Ray;1937-05-24;MP (2008/10/14 - 2015/10/18);Palliser (2008/10/14 - 2015/10/18);Saskatchewan;M;Conservative Party of Canada (2008/10/14 - 2015/10/18)
Bourgeois, Diane;1949-11-13;MP (2000/11/27 - 2011/05/01);Terrebonne--Blainville (2000/11/27 - 2011/05/01);Quebec;F;Bloc Québécois (2000/11/27 - 2011/05/01)
Braid, Peter;1964-01-06;MP (2008/10/14 - 2015/10/18);Kitchener--Waterloo (2008/10/14 - 2015/10/18);Ontario;M;Conservative Party of Canada (2008/10/14 - 2015/10/18)
Braley, David;1941-05-30;Senator (2010/05/20 - 2013/11/30);Ontario (2010/05/20 - 2013/11/30);Ontario;M;Conservative Party of Canada (2010/05/20 - 2013/11/30)
Brazeau, Patrick;1974-11-10;Senator (2009/01/08 - );Repentigny (2009/01/08 - );Quebec;M;"Independent Senators Group (2017/06/01 - )
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/06/13 - 2016/12/01)
Independent (2013/02/07 - 2016/06/12)
Conservative Party of Canada (2009/01/08 - 2013/02/06)"
Breitkreuz, Garry W.;1945-10-20;MP (1993/10/25 - 2015/10/18);Yorkton--Melville (1993/10/25 - 2015/10/18);Saskatchewan;M;"Conservative Party of Canada (2003/12/23 - 2015/10/18)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1993/10/25 - 2000/03/26)"
Brison, Scott;1967-05-09;"MP (2000/11/27 - 2019/02/10)
MP (1997/06/02 - 2000/07/24)";"Kings--Hants (2000/11/27 - 2019/02/10)
Kings--Hants (1997/06/02 - 2000/07/24)";"Nova Scotia
Nova Scotia";M;"Liberal Party of Canada (2003/12/11 - 2019/02/10)
Progressive Conservative Party (2000/11/27 - 2003/12/10)
Progressive Conservative Party (1997/06/02 - 2000/07/24)"
Brown, Bert;1938-03-21;Senator (2007/07/10 - 2013/03/22);Alberta (2007/07/10 - 2013/03/22);Alberta;M;Conservative Party of Canada (2007/07/10 - 2013/03/22)
Brown, Gordon;1960-08-30;"MP (2015/10/19 - 2018/05/02)
MP (2004/06/28 - 2015/10/18)";"Leeds--Grenville--Thousand Islands and Rideau Lakes (2015/10/19 - 2018/05/02)
Leeds--Grenville (2004/06/28 - 2015/10/18)";"Ontario
Ontario";M;Conservative Party of Canada (2004/06/28 - 2018/05/02)
Brown, Lois;1955-01-21;MP (2008/10/14 - 2015/10/18);Newmarket--Aurora (2008/10/14 - 2015/10/18);Ontario;F;Conservative Party of Canada (2008/10/14 - 2015/10/18)
Brown, Patrick W.;1978-05-25;MP (2006/01/23 - 2015/05/14);Barrie (2006/01/23 - 2015/05/14);Ontario;M;Conservative Party of Canada (2006/01/23 - 2015/05/14)
Bruinooge, Rod;1973-05-05;MP (2006/01/23 - 2015/10/18);Winnipeg South (2006/01/23 - 2015/10/18);Manitoba;M;Conservative Party of Canada (2006/01/23 - 2015/10/18)
Brunelle, Paule;1953-08-20;MP (2004/06/28 - 2011/05/01);Trois-Rivières (2004/06/28 - 2011/05/01);Quebec;F;Bloc Québécois (2004/06/28 - 2011/05/01)
Bryden, John G.;1937-08-24;Senator (1994/11/23 - 2009/10/31);New Brunswick (1994/11/23 - 2009/10/31);New Brunswick;M;Liberal Party of Canada (1994/11/23 - 2009/10/31)
Byrne, Gerry;1966-09-26;MP (1996/03/25 - 2015/10/18);Humber--St. Barbe--Baie Verte (1996/03/25 - 2015/10/18);Newfoundland and Labrador;M;Liberal Party of Canada (1996/03/25 - 2015/10/18)
Cadman, Dona;1950-07-08;MP (2008/10/14 - 2011/05/01);Surrey North (2008/10/14 - 2011/05/01);British Columbia;F;Conservative Party of Canada (2008/10/14 - 2011/05/01)
Calandra, Paul;1970-05-12;MP (2008/10/14 - 2015/10/18);Oak Ridges--Markham (2008/10/14 - 2015/10/18);Ontario;M;Conservative Party of Canada (2008/10/14 - 2015/10/18)
Calkins, Blaine;1968-12-24;"MP (2015/10/19 - )
MP (2006/01/23 - 2015/10/18)";"Red Deer--Lacombe (2015/10/19 - )
Wetaskiwin (2006/01/23 - 2015/10/18)";"Alberta
Alberta";M;Conservative Party of Canada (2006/01/23 - )
Callbeck, Catherine S.;1939-07-24;"MP (1988/11/21 - 1993/01/25)
Senator (1997/09/22 - 2014/07/25)";"Prince Edward Island (1997/09/22 - 2014/07/25)
Malpeque (1988/11/21 - 1993/01/25)";"Prince Edward Island
Prince Edward Island";F;"Liberal Party of Canada (1997/09/22 - 2014/07/25)
Liberal Party of Canada (1988/11/21 - 1993/01/25)"
Campbell, Larry W.;1948-02-27;Senator (2005/08/02 - );British Columbia (2005/08/02 - );British Columbia;M;"Canadian Senators Group (2019/11/04 - )
Independent Senators Group (2017/06/02 - 2019/11/03)
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/06/13 - 2016/12/01)
Independent (2016/04/06 - 2016/06/12)
Liberal Party of Canada (2005/08/02 - 2016/04/05)"
Cannan, Ronald;1961-05-07;MP (2006/01/23 - 2015/10/18);Kelowna--Lake Country (2006/01/23 - 2015/10/18);British Columbia;M;Conservative Party of Canada (2006/01/23 - 2015/10/18)
Cannis, John;1951-11-03;MP (1993/10/25 - 2011/05/01);Scarborough Centre (1993/10/25 - 2011/05/01);Ontario;M;Liberal Party of Canada (1993/10/25 - 2011/05/01)
Cannon, Lawrence;1947-12-05;MP (2006/01/23 - 2011/05/01);Pontiac (2006/01/23 - 2011/05/01);Quebec;M;Conservative Party of Canada (2006/01/23 - 2011/05/01)
Cardin, Serge;1950-07-01;MP (1998/09/14 - 2011/05/01);Sherbrooke (1998/09/14 - 2011/05/01);Quebec;M;Bloc Québécois (1998/09/14 - 2011/05/01)
Carignan, Claude;1964-12-03;Senator (2009/08/27 - );Mille Isles (2009/08/27 - );Quebec;M;Conservative Party of Canada (2009/08/27 - )
Carrie, Colin;1962-04-10;MP (2004/06/28 - );Oshawa (2004/06/28 - );Ontario;M;Conservative Party of Canada (2004/06/28 - )
Carrier, Robert;1941-06-02;MP (2004/06/28 - 2011/05/01);Alfred-Pellan (2004/06/28 - 2011/05/01);Quebec;M;Bloc Québécois (2004/06/28 - 2011/05/01)
Carstairs, Sharon;1942-04-25;Senator (1994/09/15 - 2011/10/17);Manitoba (1994/09/15 - 2011/10/17);Manitoba;F;Liberal Party of Canada (1994/09/15 - 2011/10/17)
Casey, William D. (Bill);1945-02-18;"MP (2015/10/19 - 2019/10/20)
MP (2004/09/01 - 2009/04/30)
MP (2004/06/28 - 2004/08/31)
MP (1997/06/02 - 2004/06/27)
MP (1988/11/21 - 1993/10/24)";"Cumberland--Colchester (2015/10/19 - 2019/10/20)
Cumberland--Colchester--Musquodoboit Valley (2004/09/01 - 2009/04/30)
North Nova (2004/06/28 - 2004/08/31)
Cumberland--Colchester (1997/06/02 - 2004/06/27)
Cumberland--Colchester (1988/11/21 - 1993/10/24)";"Nova Scotia
Nova Scotia
Nova Scotia
Nova Scotia
Nova Scotia";M;"Liberal Party of Canada (2015/10/19 - 2019/10/20)
Independent (2007/06/06 - 2009/04/30)
Conservative Party of Canada (2004/02/02 - 2007/06/05)
Progressive Conservative Party (1997/06/02 - 2004/02/01)
Progressive Conservative Party (1988/11/21 - 1993/10/24)"
Casson, Rick;1948-12-29;MP (1997/06/02 - 2011/05/01);Lethbridge (1997/06/02 - 2011/05/01);Alberta;M;"Conservative Party of Canada (2003/12/23 - 2011/05/01)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1997/06/02 - 2000/03/26)"
Champagne, Andrée;1939-07-16;"MP (1984/09/04 - 1993/10/24)
Senator (2005/08/02 - 2014/07/17)";"Grandville (2005/08/02 - 2014/07/17)
Saint-Hyacinthe--Bagot (1984/09/04 - 1993/10/24)";"Quebec
Quebec";F;"Conservative Party of Canada (2005/08/02 - 2014/07/17)
Progressive Conservative Party (1984/09/04 - 1993/10/25)"
Chaput, Maria;1942-05-06;Senator (2002/12/12 - 2016/02/29);Manitoba (2002/12/12 - 2016/02/29);Manitoba;F;Liberal Party of Canada (2002/12/12 - 2016/02/29)
Charette-Poulin, Marie-P.;1945-06-20;Senator (1995/09/21 - 2015/04/17);Northern Ontario (1995/09/21 - 2015/04/17);Ontario;F;Liberal Party of Canada (1995/09/21 - 2015/04/17)
Charlton, Chris;1963-07-03;MP (2006/01/23 - 2015/10/18);Hamilton Mountain (2006/01/23 - 2015/10/18);Ontario;F;New Democratic Party (2006/01/23 - 2015/10/18)
Chong, Michael D.;1971-11-21;MP (2004/06/28 - );Wellington--Halton Hills (2004/06/28 - );Ontario;M;Conservative Party of Canada (2004/06/28 - )
Chow, Olivia;1957-03-23;MP (2006/01/23 - 2014/03/13);Trinity--Spadina (2006/01/23 - 2014/03/13);Ontario;F;New Democratic Party (2006/01/23 - 2014/03/13)
Christopherson, David;1954-10-04;MP (2004/06/28 - 2019/10/20);Hamilton Centre (2004/06/28 - 2019/10/20);Ontario;M;New Democratic Party (2004/06/28 - 2019/10/20)
Clarke, Rob;1967-03-01;MP (2008/03/17 - 2015/10/18);Desnethé--Missinippi--Churchill River (2008/03/17 - 2015/10/18);Saskatchewan;M;Conservative Party of Canada (2008/03/17 - 2015/10/18)
Clement, Tony;1961-01-26;MP (2006/01/23 - 2019/10/20);Parry Sound--Muskoka (2006/01/23 - 2019/10/20);Ontario;M;"Independent (2018/11/07 - 2019/10/20)
Conservative Party of Canada (2006/01/23 - 2018/11/06)"
Coady, Siobhan;1960-11-10;MP (2008/10/14 - 2011/05/01);St. John's South--Mount Pearl (2008/10/14 - 2011/05/01);Newfoundland and Labrador;F;Liberal Party of Canada (2008/10/14 - 2011/05/01)
Cochrane, Ethel M.;1937-09-22;Senator (1986/11/17 - 2012/09/23);Newfoundland and Labrador (1986/11/17 - 2012/09/23);Newfoundland and Labrador;F;"Conservative Party of Canada (2004/02/02 - 2012/09/23)
Progressive Conservative Party (1986/11/17 - 2004/02/01)"
Coderre, Denis;1963-07-24;MP (1997/06/02 - 2013/06/02);Bourassa (1997/06/02 - 2013/06/02);Quebec;M;Liberal Party of Canada (1997/06/02 - 2013/06/02)
Comartin, Joe;1947-12-25;"MP (2004/06/28 - 2015/10/18)
MP (2000/11/27 - 2004/06/27)";"Windsor--Tecumseh (2004/06/28 - 2015/10/18)
Windsor--St. Clair (2000/11/27 - 2004/06/27)";"Ontario
Ontario";M;New Democratic Party (2000/11/27 - 2015/10/18)
Comeau, Gerald J.;1946-01-31;"MP (1984/09/04 - 1988/11/20)
Senator (1990/08/30 - 2013/11/30)";"Nova Scotia (1990/08/30 - 2013/11/30)
South West Nova (1984/09/04 - 1988/11/20)";"Nova Scotia
Nova Scotia";M;"Conservative Party of Canada (2004/02/02 - 2013/11/30)
Progressive Conservative Party (1990/08/30 - 2004/02/01)
Progressive Conservative Party (1984/09/04 - 1988/11/20)"
Cook, Joan;1934-10-05;Senator (1998/03/06 - 2009/10/06);Newfoundland and Labrador (1998/03/06 - 2009/10/06);Newfoundland and Labrador;F;Liberal Party of Canada (1998/03/06 - 2009/10/06)
Cools, Anne C.;1943-08-11;Senator (1984/01/13 - 2018/08/11);"Toronto Centre -York (2001/02/15 - 2018/08/11)
Toronto Centre (1984/01/13 - 2001/02/14)";"Ontario
Ontario";F;"Independent Senators Group (2017/06/01 - 2018/08/11)
Non-affiliated (Independent Senators Group) (2017/03/10 - 2017/05/31)
Non-affiliated (2016/06/13 - 2017/03/09)
Independent (2010/07/08 - 2016/06/12)
No political alignment (2007/12/13 - 2010/07/07)
Conservative Party of Canada (2004/06/08 - 2007/12/12)
Liberal Party of Canada (1984/01/13 - 2004/06/07)"
Corbin, Eymard G.;1934-08-01;"MP (1968/06/25 - 1984/07/08)
Senator (1984/07/09 - 2009/08/02)";"Grand-Sault (1984/07/09 - 2009/08/02)
Madawaska--Victoria (1968/06/25 - 1984/07/08)";"New Brunswick
New Brunswick";M;Liberal Party of Canada (1968/06/25 - 2009/08/02)
Cordy, Jane;1950-07-01;Senator (2000/06/09 - );Nova Scotia (2000/06/09 - );Nova Scotia;F;"Non-affiliated (2019/11/18 - )
Progressive Senate Group (2019/11/14 - 2019/11/17)
Liberal Party of Canada (2000/06/09 - 2019/11/13)"
Cotler, Irwin;1940-05-07;MP (1999/11/15 - 2015/10/18);Mount Royal (1999/11/15 - 2015/10/18);Quebec;M;Liberal Party of Canada (1999/11/15 - 2015/10/18)
Cowan, James S.;1942-01-21;Senator (2005/03/24 - 2017/01/21);Nova Scotia (2005/03/24 - 2017/01/21);Nova Scotia;M;Liberal Party of Canada (2005/03/24 - 2017/01/21)
Crête, Paul;1953-04-07;"MP (2004/09/01 - 2009/05/21)
MP (2004/06/28 - 2004/08/31)
MP (1997/06/02 - 2004/06/27)
MP (1993/10/25 - 1997/06/01)";"Montmagny--L’Islet--Kamouraska--Rivière-du-Loup (2004/09/01 - 2009/05/21)
Rivière-du-Loup--Montmagny (2004/06/28 - 2004/08/31)
Kamouraska--Rivière-du-Loup--Témiscouata--Les Basques (1997/06/02 - 2004/06/27)
Kamouraska--Rivière-du-Loup (1993/10/25 - 1997/06/01)";"Quebec
Quebec
Quebec
Quebec";M;Bloc Québécois (1993/10/25 - 2009/05/21)
Crombie, Bonnie;1960-02-04;MP (2008/10/14 - 2011/05/01);Mississauga--Streetsville (2008/10/14 - 2011/05/01);Ontario;F;Liberal Party of Canada (2008/10/14 - 2011/05/01)
Crowder, Jean;1952-07-06;MP (2004/06/28 - 2015/10/18);Nanaimo--Cowichan (2004/06/28 - 2015/10/18);British Columbia;F;New Democratic Party (2004/06/28 - 2015/10/18)
Cullen, Nathan;1972-07-12;MP (2004/06/28 - 2019/10/20);Skeena--Bulkley Valley (2004/06/28 - 2019/10/20);British Columbia;M;New Democratic Party (2004/06/28 - 2019/10/20)
